nombre,nota1,nota2,nota3
Ana Torres 1,7.1,8.0,9.7
Luis Torres 2,9.8,4.1,5.3
Maria Torres 3,4.5,6.9,7.3
Carlos Torres 4,8.0,7.5,5.6
Sofia Torres 5,5.4,7.5,8.3
Pedro Torres 6,7.0,7.0,5.8
Lucia Torres 7,5.3,4.1,5.4
Diego Torres 8,5.9,8.6,6.3
Valentina Torres 9,8.0,5.5,5.0
Andres Torres 10,8.2,8.1,9.6
Ana Mendoza 11,8.5,8.8,4.1
Luis Mendoza 12,4.0,6.0,9.5
Maria Mendoza 13,5.0,9.6,4.9
Carlos Mendoza 14,7.1,8.4,7.1
Sofia Mendoza 15,7.3,6.0,6.1
Pedro Mendoza 16,5.9,4.9,4.6
Lucia Mendoza 17,8.0,8.6,7.8
Diego Mendoza 18,8.8,9.3,6.8
Valentina Mendoza 19,8.5,8.9,7.0
Andres Mendoza 20,6.0,4.4,8.5
Ana Vargas 21,8.4,9.3,7.9
Luis Vargas 22,5.1,5.8,5.8
Maria Vargas 23,9.5,8.0,6.5
Carlos Vargas 24,9.4,8.9,8.1
Sofia Vargas 25,5.1,5.4,7.0
Pedro Vargas 26,8.4,8.1,9.3
Lucia Vargas 27,9.1,7.2,8.8
Diego Vargas 28,9.3,8.1,5.0
Valentina Vargas 29,4.3,8.2,5.2
Andres Vargas 30,9.5,9.1,7.5
Ana Ruiz 31,9.1,7.4,4.5
Luis Ruiz 32,7.7,8.1,9.3
Maria Ruiz 33,9.3,6.1,8.8
Carlos Ruiz 34,4.7,4.3,8.7
Sofia Ruiz 35,6.2,6.5,4.1
Pedro Ruiz 36,8.6,7.1,6.1
Lucia Ruiz 37,9.2,5.0,5.1
Diego Ruiz 38,7.9,7.4,5.1
Valentina Ruiz 39,6.4,7.6,5.2
Andres Ruiz 40,8.7,7.5,9.1
Ana Lopez 41,9.3,5.9,8.3
Luis Lopez 42,9.1,5.0,7.6
Maria Lopez 43,8.4,8.5,6.8
Carlos Lopez 44,5.8,5.0,5.0
Sofia Lopez 45,7.7,8.5,8.0
Pedro Lopez 46,9.5,4.8,4.1
Lucia Lopez 47,5.8,6.1,8.6
Diego Lopez 48,6.5,4.8,5.2
Valentina Lopez 49,5.3,4.1,6.8
Andres Lopez 50,9.8,8.9,6.5
Ana Garcia 51,6.1,6.1,5.1
Luis Garcia 52,4.2,7.3,5.6
Maria Garcia 53,4.5,8.5,8.9
Carlos Garcia 54,7.2,8.3,4.4
Sofia Garcia 55,6.6,7.9,9.3
Pedro Garcia 56,5.1,7.5,9.9
Lucia Garcia 57,4.0,10.0,5.6
